# Instrument-source: 'FullInstrument_v4_elastic_resolution.instr'
# Date: Wed Nov 10 12 02 2021
# Ncount: 10000000
# Numpoints: 146
# Param: pds_dist = 0.05
# type: multiarray_1d(146)
# title: Scan of pds_dist
# xlabel: 'pds_dist'
# ylabel: 'Intensity'
# xvars: pds_dist
# yvars: (Vir_SlitMonitor_I,Vir_SlitMonitor_ERR) (SlitMonitor_I,SlitMonitor_ERR) (BackEndMonitor_I,BackEndMonitor_ERR) (psd_tube1_1_1_I,psd_tube1_1_1_ERR) (psd_tube1_1_2_I,psd_tube1_1_2_ERR) (psd_tube1_1_3_I,psd_tube1_1_3_ERR) (psd_tube1_1_4_I,psd_tube1_1_4_ERR) (psd_tube1_1_5_I,psd_tube1_1_5_ERR) (psd_tube1_1_6_I,psd_tube1_1_6_ERR) (psd_tube1_1_7_I,psd_tube1_1_7_ERR) (psd_tube1_2_1_I,psd_tube1_2_1_ERR) (psd_tube1_2_2_I,psd_tube1_2_2_ERR) (psd_tube1_2_3_I,psd_tube1_2_3_ERR) (psd_tube1_2_4_I,psd_tube1_2_4_ERR) (psd_tube1_2_5_I,psd_tube1_2_5_ERR) (psd_tube1_2_6_I,psd_tube1_2_6_ERR)
# xlimits: 0.05 1.5
# filename: mccode.dat
# variables: pds_dist Vir_SlitMonitor_I Vir_SlitMonitor_ERR SlitMonitor_I SlitMonitor_ERR BackEndMonitor_I BackEndMonitor_ERR psd_tube1_1_1_I psd_tube1_1_1_ERR psd_tube1_1_2_I psd_tube1_1_2_ERR psd_tube1_1_3_I psd_tube1_1_3_ERR psd_tube1_1_4_I psd_tube1_1_4_ERR psd_tube1_1_5_I psd_tube1_1_5_ERR psd_tube1_1_6_I psd_tube1_1_6_ERR psd_tube1_1_7_I psd_tube1_1_7_ERR psd_tube1_2_1_I psd_tube1_2_1_ERR psd_tube1_2_2_I psd_tube1_2_2_ERR psd_tube1_2_3_I psd_tube1_2_3_ERR psd_tube1_2_4_I psd_tube1_2_4_ERR psd_tube1_2_5_I psd_tube1_2_5_ERR psd_tube1_2_6_I psd_tube1_2_6_ERR
0.16 4.79489E+8 296336 9.04029E+6 40558.6 8.11016E+6 3741.67 2969.65 226.523 3153.53 232.612 3305.21 236.173 3122.46 233.063 3049.36 226.959 3133.75 232.228 3216.4 233.9 2360.94 198.967 2924.1 224.579 2601.69 207.656 2734.88 217.043 2877.01 219.776 2605.68 213.598
0.17 4.79683E+8 296397 8.9936E+6 40469.1 8.0824E+6 3737.87 2822.45 217.099 3349.14 239.075 3028.61 226.133 3356.76 243.11 3395.38 241.02 2968.49 225.006 3257.18 234.42 2493.1 205.342 2677.82 214.03 2621.12 210.672 2763.68 219.884 2573.33 209.906 2250.69 195.843
0.18 4.79975E+8 296514 9.00696E+6 40510.4 8.07087E+6 3736.93 2810.83 219.546 2941.84 223.166 2780.46 215.565 3382.31 240.634 3141.05 230.316 3049.2 227.545 3032.45 228.733 2531.9 209.841 2530.14 209.083 2886.03 223.375 2609.53 211.119 2848.06 221.463 2660.99 212.598
0.19 4.79257E+8 296257 9.07376E+6 40645.4 8.14189E+6 3750.72 2980.19 224.673 3328.61 238.576 2983.55 225.449 2837.78 219.458 3052.73 223.961 3196.55 233.897 3060.47 228.486 2067.06 187.304 2174.77 191.681 2267.64 192.052 2731.06 217.997 2780.37 218.42 2868.95 217.95
0.20 4.8E+8 296478 9.08327E+6 40655.5 8.15765E+6 3751.29 3284.24 233.776 3468.46 243.838 3081.11 228.858 3185.35 232.695 3425.02 238.926 3437.86 243.379 2972.98 222.98 2862.32 220.988 2646.77 211.219 2667.37 210.511 3010.96 226.966 2503.46 207.302 2387.72 201.551
0.21 4.79645E+8 296378 8.98274E+6 40457.4 8.05366E+6 3732.04 2733.38 215.773 3380.85 239.975 3259.54 237.14 2716.95 215.714 3203.58 233.952 3047.46 227.37 2826.36 219.292 2339.89 196.848 2381.38 202.567 2559.08 208.353 2949.33 225.618 2853.24 225.446 2998.32 224.692
0.22 4.79133E+8 296220 9.06408E+6 40612.2 8.12745E+6 3745.28 2993.76 226.918 2777.36 216.015 3363.25 241.27 2926.98 222.382 3347.37 238.515 3153.35 231.633 3084.78 228.947 2888.81 223.047 2529.69 207.207 2381.92 202.007 2745.4 215.694 2732.41 217.25 2672.85 214.051
0.23 4.796E+8 296346 9.04787E+6 40572.8 8.11581E+6 3743.53 2812.1 217.621 3165.69 228.423 3322.02 238.385 3234.34 231.924 3313.33 237.26 3327.99 239.211 3427.45 238.546 2693.22 214.912 2389.92 200.087 2511.13 206.06 2508.53 206.576 2626.72 211.056 2754.68 215.534
0.24 4.79377E+8 296302 8.99659E+6 40477.1 8.05513E+6 3731.05 2978.07 222.574 2948.16 224.73 2970.93 226.833 2950.46 223.429 3303.55 237.528 3420.01 244.161 3470.63 242.554 2780.71 215.283 2686.01 212.538 2795.22 219.816 2825.94 221.341 2820.81 220.107 2420.69 203.196
0.25 4.79698E+8 296420 9.04519E+6 40569.3 8.11047E+6 3742.35 2870.87 219.158 3180.11 233.16 3220.95 235.418 3181.73 230.917 3152.65 231.429 3510.1 242.519 3294.6 238.113 2402.83 203.683 2884.19 221.302 2425.77 199.021 2333.37 196.538 2771.91 219.303 2712.71 215.095
0.26 4.79078E+8 296248 9.03705E+6 40543.7 8.10912E+6 3740.14 3152.03 231.369 3063.89 228.749 3244.28 236.756 3296.53 235.151 2977.56 221.87 3146.84 230.87 3070.44 229.009 2594.08 207.474 2644.78 213.735 2374.08 201.029 2358.1 198.065 2691.42 213.875 2729.42 215.567
0.27 4.79486E+8 296366 8.89661E+6 40230.7 7.97004E+6 3708.89 2560.25 208.952 3044.35 225.995 3247.93 238.09 3343.34 237.666 2934 220.488 3612.03 249.346 3018.27 226.165 2385 200.355 2551.67 207.382 2339.77 196.706 2810.4 220.232 2814.81 219.618 2676.29 215.704
0.28 4.79534E+8 296389 9.05759E+6 40613 8.12443E+6 3746.97 2850.55 221.412 3173.73 231.126 3138.04 230.98 3185.81 234.398 2964.25 223.486 3087.47 227.557 3433.26 238.311 2333.87 199.832 2294.84 194.854 2491.87 205.374 2701.92 215.178 2706.19 216.054 2383.18 199.612
